sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2024-01-01T00:00:00,1,SHELF-D12,19.71,53.33,3106
2024-01-01T00:20:00,1,SHELF-D12,19.19,54.73,3106
2024-01-01T00:40:00,1,SHELF-D12,19.07,52.54,3106
2024-01-01T01:00:00,1,SHELF-D12,18.08,49.67,3106
2024-01-01T01:20:00,1,SHELF-D12,19.77,50.70,3106
2024-01-01T01:40:00,1,SHELF-D12,19.72,52.21,3106
2024-01-01T02:00:00,1,SHELF-D12,19.37,52.35,3106
2024-01-01T02:20:00,1,SHELF-D12,19.41,54.04,3106
2024-01-01T02:40:00,1,SHELF-D12,18.08,50.17,3106
2024-01-01T03:00:00,1,SHELF-D12,19.33,48.26,3106
2024-01-01T03:20:00,1,SHELF-D12,19.18,42.39,3106
2024-01-01T03:40:00,1,SHELF-D12,20.11,57.05,3106
2024-01-01T04:00:00,1,SHELF-D12,19.22,49.73,3106
2024-01-01T04:20:00,1,SHELF-D12,19.70,46.80,3106
2024-01-01T04:40:00,1,SHELF-D12,20.01,52.83,3106
2024-01-01T05:00:00,1,SHELF-D12,18.92,44.56,3106
2024-01-01T05:20:00,1,SHELF-D12,18.90,44.95,3106
2024-01-01T05:40:00,1,SHELF-D12,18.49,45.16,3106
2024-01-01T06:00:00,1,SHELF-D12,19.97,54.04,3106
2024-01-01T06:20:00,1,SHELF-D12,18.76,44.99,3106
2024-01-01T06:40:00,1,SHELF-D12,19.08,50.44,3106
2024-01-01T07:00:00,1,SHELF-D12,19.91,47.57,3106
2024-01-01T07:20:00,1,SHELF-D12,20.31,46.76,3106
2024-01-01T07:40:00,1,SHELF-D12,18.95,46.89,3106
2024-01-01T08:00:00,1,SHELF-D12,19.83,44.21,3106
2024-01-01T08:20:00,1,SHELF-D12,20.08,52.32,3106
2024-01-01T08:40:00,1,SHELF-D12,19.79,47.03,3106
2024-01-01T09:00:00,1,SHELF-D12,-0.92,57.42,3106
2024-01-01T09:20:00,1,SHELF-D12,20.30,48.65,3106
2024-01-01T09:40:00,1,SHELF-D12,19.10,42.49,3106
2024-01-01T10:00:00,1,SHELF-D12,19.61,50.60,3106
2024-01-01T10:20:00,1,SHELF-D12,20.54,54.25,3106
2024-01-01T10:40:00,1,SHELF-D12,19.29,54.40,3106
2024-01-01T11:00:00,1,SHELF-D12,20.83,42.67,3106
2024-01-01T11:20:00,1,SHELF-D12,21.16,43.64,3106
2024-01-01T11:40:00,1,SHELF-D12,19.78,57.99,3106
2024-01-01T12:00:00,1,SHELF-D12,20.94,49.03,3106
2024-01-01T12:20:00,1,SHELF-D12,19.78,54.97,3106
2024-01-01T12:40:00,1,SHELF-D12,20.73,52.12,3106
2024-01-01T13:00:00,1,SHELF-D12,19.85,45.31,3106
2024-01-01T13:20:00,1,SHELF-D12,19.99,50.62,3106
2024-01-01T13:40:00,1,SHELF-D12,20.01,46.28,3106
2024-01-01T14:00:00,1,SHELF-D12,20.92,43.52,3106
2024-01-01T14:20:00,1,SHELF-D12,21.40,57.88,3106
2024-01-01T14:40:00,1,SHELF-D12,21.29,45.99,3106
2024-01-01T15:00:00,1,SHELF-D12,21.21,52.82,3106
2024-01-01T15:20:00,1,SHELF-D12,20.22,48.63,3106
2024-01-01T15:40:00,1,SHELF-D12,21.44,43.49,3106
2024-01-01T16:00:00,1,SHELF-D12,21.68,47.91,3106
2024-01-01T16:20:00,1,SHELF-D12,19.81,54.39,3106
2024-01-01T16:40:00,1,SHELF-D12,20.72,52.63,3106
2024-01-01T17:00:00,1,SHELF-D12,21.00,45.49,3106
2024-01-01T17:20:00,1,SHELF-D12,20.47,55.25,3106
2024-01-01T17:40:00,1,SHELF-D12,21.06,49.77,3106
2024-01-01T18:00:00,1,SHELF-D12,20.15,43.59,3106
,1,SHELF-D12,20.31,55.72,3106
2024-01-01T18:40:00,1,SHELF-D12,21.97,45.24,3106
2024-01-01T19:00:00,1,SHELF-D12,20.45,52.40,3106
2024-01-01T19:20:00,1,SHELF-D12,22.05,46.38,3106
2024-01-01T19:40:00,1,SHELF-D12,20.68,47.95,3106
2024-01-01T20:00:00,1,SHELF-D12,20.64,48.34,3106
2024-01-01T20:20:00,1,SHELF-D12,21.71,45.75,3106
2024-01-01T20:40:00,1,SHELF-D12,21.72,42.02,3106
2024-01-01T21:00:00,1,SHELF-D12,20.70,45.62,3106
2024-01-01T21:20:00,1,SHELF-D12,20.45,53.13,3106
2024-01-01T21:40:00,1,SHELF-D12,22.41,48.76,3106
2024-01-01T22:00:00,1,SHELF-D12,20.70,48.13,3106
2024-01-01T22:20:00,1,SHELF-D12,20.76,47.01,3106
2024-01-01T22:40:00,1,SHELF-D12,20.83,54.38,3106
2024-01-01T23:00:00,1,SHELF-D12,20.95,57.89,3106
2024-01-01T23:20:00,1,SHELF-D12,21.74,42.14,3106
2024-01-01T23:40:00,1,SHELF-D12,21.56,53.56,3106
2024-01-01T00:00:00,1,SHELF-A19,19.65,51.86,3138
2024-01-01T00:20:00,1,SHELF-A19,18.24,56.35,3138
2024-01-01T00:40:00,1,SHELF-A19,18.05,53.68,3138
2024-01-01T01:00:00,1,SHELF-A19,18.79,54.66,3138
2024-01-01T01:20:00,1,SHELF-A19,19.22,45.97,3138
2024-01-01T01:40:00,1,SHELF-A19,19.38,46.56,3138
2024-01-01T02:00:00,1,SHELF-A19,18.11,55.55,3138
2024-01-01T02:20:00,1,SHELF-A19,18.47,51.71,3138
2024-01-01T02:40:00,1,SHELF-A19,18.84,52.34,3138
2024-01-01T03:00:00,1,SHELF-A19,19.77,45.83,3138
2024-01-01T03:20:00,1,SHELF-A19,18.66,52.21,3138
2024-01-01T03:40:00,1,SHELF-A19,19.96,42.19,3138
2024-01-01T04:00:00,1,SHELF-A19,18.94,48.19,3138
2024-01-01T04:20:00,1,SHELF-A19,19.15,50.74,3138
2024-01-01T04:40:00,1,SHELF-A19,19.25,57.80,3138
2024-01-01T05:00:00,1,SHELF-A19,19.61,42.22,3138
2024-01-01T05:20:00,1,SHELF-A19,20.28,57.18,3138
2024-01-01T05:40:00,1,SHELF-A19,19.01,53.40,3138
2024-01-01T06:00:00,1,SHELF-A19,19.40,48.44,3138
2024-01-01T06:20:00,1,SHELF-A19,19.63,44.44,3138
2024-01-01T06:40:00,1,SHELF-A19,18.72,56.73,3138
2024-01-01T07:00:00,1,SHELF-A19,18.99,47.23,3138
2024-01-01T07:20:00,1,SHELF-A19,20.21,52.40,3138
2024-01-01T07:40:00,1,SHELF-A19,19.30,49.00,3138
2024-01-01T08:00:00,1,SHELF-A19,19.28,45.91,3138
2024-01-01T08:20:00,1,SHELF-A19,19.04,51.80,3138
2024-01-01T08:40:00,1,SHELF-A19,20.14,52.53,3138
2024-01-01T09:00:00,1,SHELF-A19,18.96,44.20,3138
2024-01-01T09:20:00,1,SHELF-A19,19.93,47.55,3138
2024-01-01T09:40:00,1,SHELF-A19,20.58,46.15,3138
2024-01-01T10:00:00,1,SHELF-A19,20.56,55.98,3138
2024-01-01T10:20:00,1,SHELF-A19,19.29,56.40,3138
2024-01-01T10:40:00,1,SHELF-A19,19.92,50.38,3138
2024-01-01T11:00:00,1,SHELF-A19,21.13,52.04,3138
2024-01-01T11:20:00,1,SHELF-A19,20.20,42.89,3138
2024-01-01T11:40:00,1,SHELF-A19,19.52,44.52,3138
2024-01-01T12:00:00,1,SHELF-A19,21.10,52.79,3138
2024-01-01T12:20:00,1,SHELF-A19,20.79,42.04,3138
2024-01-01T12:40:00,1,SHELF-A19,19.33,42.74,3138
2024-01-01T13:00:00,1,SHELF-A19,21.27,44.86,3138
2024-01-01T13:20:00,1,SHELF-A19,19.50,54.85,3138
2024-01-01T13:40:00,1,SHELF-A19,20.74,45.59,3138
2024-01-01T14:00:00,1,SHELF-A19,21.39,47.12,3138
2024-01-01T14:20:00,1,SHELF-A19,20.70,43.91,3138
2024-01-01T14:40:00,1,SHELF-A19,19.66,45.57,3138
2024-01-01T15:00:00,1,SHELF-A19,19.77,48.41,3138
2024-01-01T15:20:00,1,SHELF-A19,21.41,54.38,3138
2024-01-01T15:40:00,1,SHELF-A19,19.86,49.31,3138
2024-01-01T16:00:00,1,SHELF-A19,20.39,54.55,3138
2024-01-01T16:20:00,1,SHELF-A19,20.29,47.89,3138
2024-01-01T16:40:00,1,SHELF-A19,21.80,54.41,3138
2024-01-01T17:00:00,1,SHELF-A19,21.03,54.74,3138
2024-01-01T17:20:00,1,SHELF-A19,21.80,42.38,3138
2024-01-01T17:40:00,1,SHELF-A19,21.20,8.79,3138
2024-01-01T18:00:00,1,SHELF-A19,20.81,53.81,3138
2024-01-01T18:20:00,1,SHELF-A19,20.67,45.28,3138
2024-01-01T18:40:00,1,SHELF-A19,22.02,48.72,3138
2024-01-01T19:00:00,1,SHELF-A19,22.11,57.56,3138
2024-01-01T19:20:00,1,SHELF-A19,20.47,46.48,3138
2024-01-01T19:40:00,1,SHELF-A19,20.27,45.70,3138
2024-01-01T20:00:00,1,SHELF-A19,22.00,48.61,3138
2024-01-01T20:20:00,1,SHELF-A19,22.10,49.34,3138
2024-01-01T20:40:00,1,SHELF-A19,21.80,51.29,3138
2024-01-01T21:00:00,1,SHELF-A19,21.44,52.20,3138
2024-01-01T21:20:00,1,SHELF-A19,21.22,51.47,3138
2024-01-01T21:40:00,1,SHELF-A19,20.56,52.60,3138
2024-01-01T22:00:00,1,SHELF-A19,20.82,46.67,3138
2024-01-01T22:20:00,1,SHELF-A19,22.26,56.82,3138
2024-01-01T22:40:00,1,SHELF-A19,21.34,55.31,3138
2024-01-01T23:00:00,1,SHELF-A19,21.34,49.24,3138
2024-01-01T23:20:00,1,SHELF-A19,21.15,57.10,3138
2024-01-01T23:40:00,1,SHELF-A19,20.95,54.32,3138
2024-01-01T00:00:00,1,SHELF-B19,18.12,44.63,3127
2024-01-01T00:20:00,1,SHELF-B19,18.74,48.50,3127
2024-01-01T00:40:00,1,SHELF-B19,18.88,57.43,3127
2024-01-01T01:00:00,1,SHELF-B19,18.35,46.93,3127
2024-01-01T01:20:00,1,SHELF-B19,18.46,43.92,3127
2024-01-01T01:40:00,1,SHELF-B19,18.25,52.98,3127
2024-01-01T02:00:00,1,SHELF-B19,19.71,53.15,3127
2024-01-01T02:20:00,1,SHELF-B19,18.14,55.37,3127
2024-01-01T02:40:00,1,SHELF-B19,18.71,43.46,3127
2024-01-01T03:00:00,1,SHELF-B19,18.68,47.69,3127
2024-01-01T03:20:00,1,SHELF-B19,19.21,52.83,3127
2024-01-01T03:40:00,1,SHELF-B19,18.70,57.85,3127
2024-01-01T04:00:00,1,SHELF-B19,18.37,48.47,3127
2024-01-01T04:20:00,1,SHELF-B19,19.21,53.97,3127
2024-01-01T04:40:00,1,SHELF-B19,18.81,49.39,3127
2024-01-01T05:00:00,1,SHELF-B19,20.04,44.24,3127
2024-01-01T05:20:00,1,SHELF-B19,18.46,55.29,3127
2024-01-01T05:40:00,1,SHELF-B19,20.40,44.09,3127
2024-01-01T06:00:00,1,SHELF-B19,20.21,47.96,3127
2024-01-01T06:20:00,1,SHELF-B19,19.82,52.31,3127
2024-01-01T06:40:00,1,SHELF-B19,19.72,46.14,3127
2024-01-01T07:00:00,1,SHELF-B19,20.31,42.35,3127
2024-01-01T07:20:00,1,SHELF-B19,18.81,56.44,3127
2024-01-01T07:40:00,1,SHELF-B19,19.57,44.06,3127
2024-01-01T08:00:00,1,SHELF-B19,20.62,55.27,3127
2024-01-01T08:20:00,1,SHELF-B19,19.47,42.68,3127
2024-01-01T08:40:00,1,SHELF-B19,19.73,44.69,3127
2024-01-01T09:00:00,1,SHELF-B19,20.08,55.15,3127
2024-01-01T09:20:00,1,SHELF-B19,19.72,42.47,3127
2024-01-01T09:40:00,1,SHELF-B19,20.30,44.76,3127
2024-01-01T10:00:00,1,SHELF-B19,19.49,44.99,3127
2024-01-01T10:20:00,1,SHELF-B19,19.62,56.13,3127
2024-01-01T10:40:00,1,SHELF-B19,19.13,51.91,3127
2024-01-01T11:00:00,1,SHELF-B19,19.67,46.72,3127
2024-01-01T11:20:00,1,SHELF-B19,20.01,50.81,3127
2024-01-01T11:40:00,1,SHELF-B19,19.30,46.48,3127
2024-01-01T12:00:00,1,SHELF-B19,19.58,45.19,3127
2024-01-01T12:20:00,1,SHELF-B19,21.08,50.41,3127
2024-01-01T12:40:00,1,SHELF-B19,20.57,54.83,3127
2024-01-01T13:00:00,1,SHELF-B19,21.02,57.83,3127
2024-01-01T13:20:00,1,SHELF-B19,21.00,47.75,3127
2024-01-01T13:40:00,1,SHELF-B19,20.52,49.75,3127
2024-01-01T14:00:00,1,SHELF-B19,21.38,50.04,3127
